county_fips,county_name,state_abbr,year,num_establishments,total_employment,total_wages,taxable_wages,avg_weekly_wage,avg_annual_pay,employment_yoy_pct_change,wage_yoy_pct_change,location_quotient_employment,unemployment_rate,median_household_income
01020,"County 020, AL",AL,2023,490,1654,116695562,88614340,1313.53,68303.43,-4.41,3.51,0.6895,4.19,71124.68
01021,"County 021, AL",AL,2023,249,1238,61339038,46820931,929.95,48357.22,8.22,1.69,0.8791,5.95,75176.67
01022,"County 022, AL",AL,2023,4065,9869,530160770,330342122,1070.14,55647.36,0.36,3.32,1.0847,4.85,72171.44
01023,"County 023, AL",AL,2023,6270,20355,1235892961,752281881,1128.02,58657.28,0.72,7.57,1.7344,5.44,67352.92
01024,"County 024, AL",AL,2023,4686,27046,1713090351,1061812163,1168.43,60758.6,3.28,4.62,0.678,4.64,73432.39
01025,"County 025, AL",AL,2023,2923,11029,683998105,473709640,1151.48,59877.11,0.37,4.12,1.1092,4.77,62933.52
01026,"County 026, AL",AL,2023,32166,172571,9552332858,7041489452,1077.47,56028.4,0.12,6.14,1.2262,6.66,75872.27
01027,"County 027, AL",AL,2023,59501,213178,12157999973,7995479173,1082.39,56284.04,3.43,1.68,1.315,5.1,75956.49
01028,"County 028, AL",AL,2023,72308,249570,15170870272,11532544150,1117.71,58120.98,4.74,4.95,0.783,4.35,71090.79
01029,"County 029, AL",AL,2023,1948,6570,415950718,293048243,1221.67,63526.7,1.14,4.55,1.7606,3.22,70403.93
01030,"County 030, AL",AL,2023,772,1910,128398111,94275835,1258.26,65429.28,3.63,4.22,1.0855,4.99,69898.88
01031,"County 031, AL",AL,2023,4113,15758,781639632,583054032,965.16,50188.32,-0.9,2.32,1.0734,6.26,67414.31
01032,"County 032, AL",AL,2023,19392,45035,3527911613,2202772748,1486.11,77277.83,4.97,2.98,1.0385,5.19,71536.16
01033,"County 033, AL",AL,2023,380,1583,102290363,63636643,1208.66,62850.11,-4.82,3.9,0.8478,5.27,76564.75
01034,"County 034, AL",AL,2023,1871,5288,304806665,197565198,1163.27,60490.3,0.51,4.15,1.3327,4.72,74598.9
01035,"County 035, AL",AL,2023,4938,14514,682483594,525431676,928.55,48284.83,-0.74,5.15,0.9051,5.84,71946.69
01036,"County 036, AL",AL,2023,6184,15691,787154625,587944853,999.18,51957.42,-1.26,3.16,1.3248,6.86,61242.36
01037,"County 037, AL",AL,2023,1219,4457,189738122,117323467,846.33,44009.36,-0.37,1.87,0.7953,6.25,63630.42
01038,"County 038, AL",AL,2023,11197,24729,1181490483,862306848,900.8,46841.74,3.75,4.49,0.9551,6.04,75606.28
01039,"County 039, AL",AL,2023,5248,16445,862823855,627208941,997.91,51891.32,1.74,2.3,0.5733,3.83,62536.61
01040,"County 040, AL",AL,2023,5384,9518,488226274,361482946,980.0,50959.88,0.25,4.13,1.242,5.27,73023.64
01041,"County 041, AL",AL,2023,9983,16581,1207625198,947033494,1348.51,70122.32,0.82,3.49,0.7612,4.86,72069.79
01042,"County 042, AL",AL,2023,13065,44376,2673106717,1782497081,1184.4,61588.86,0.19,5.48,0.5268,4.71,62533.36
01043,"County 043, AL",AL,2023,40075,115236,5301617415,4197215416,896.86,46636.58,7.01,4.58,0.8221,6.14,57954.1
01044,"County 044, AL",AL,2023,5084,16355,970648591,614596608,1181.03,61413.77,3.2,6.73,0.7121,4.27,79087.55
01045,"County 045, AL",AL,2023,28371,94869,5626974109,3904362566,1148.24,59708.49,0.06,2.11,0.8547,5.44,63812.46
01046,"County 046, AL",AL,2023,3012,7663,390980183,300553378,1007.0,52364.08,1.58,3.48,0.9151,5.34,69353.21
01047,"County 047, AL",AL,2023,14897,50692,3285052018,2530814269,1213.63,63108.87,0.74,3.25,0.7682,4.07,66949.07
01048,"County 048, AL",AL,2023,1693,7601,472275766,300131871,1179.44,61330.97,3.21,5.13,0.9457,4.47,75113.51
01049,"County 049, AL",AL,2023,585,1939,101113834,80523133,989.6,51459.05,4.3,6.05,0.9154,5.81,55879.39
01050,"County 050, AL",AL,2023,2181,8973,665687392,473051280,1435.29,74634.98,1.55,6.7,0.6519,4.48,87464.67
01051,"County 051, AL",AL,2023,1527,7185,396689776,316204607,1062.84,55267.75,1.56,0.61,1.1977,4.85,76015.16
01052,"County 052, AL",AL,2023,2189,7663,470884310,287116855,1196.95,62241.4,-1.63,4.22,0.6076,5.3,68748.07
01053,"County 053, AL",AL,2023,13258,39155,2849796449,1712442757,1351.27,70266.04,1.63,2.68,1.1793,4.08,74333.96
01054,"County 054, AL",AL,2023,512,3550,274989579,197460130,1520.22,79051.23,0.18,3.28,0.9357,3.15,83243.29
01055,"County 055, AL",AL,2023,691,2463,146498358,91907833,1154.47,60032.29,2.5,0.68,1.0592,4.74,81026.09
01056,"County 056, AL",AL,2023,33673,146451,8922647996,6485944682,1177.15,61211.81,3.99,3.22,0.5531,4.98,67805.63
01057,"County 057, AL",AL,2023,2427,13446,843034838,630980881,1202.18,62513.14,2.92,4.29,0.7789,3.87,77082.39
01058,"County 058, AL",AL,2023,144676,518733,29551183759,20545503703,1102.33,57321.18,4.09,2.86,0.8587,4.82,74520.97
01059,"County 059, AL",AL,2023,2102,8645,467341625,370113491,1090.2,56690.51,-1.11,2.39,0.4439,4.46,65707.38
01060,"County 060, AL",AL,2023,20034,64225,3573684625,2643232752,1119.25,58200.97,-1.32,4.81,0.9254,5.67,70894.64
01061,"County 061, AL",AL,2023,1061,3850,185234341,127119919,940.95,48929.48,0.08,1.96,0.9669,6.55,55387.01
01062,"County 062, AL",AL,2023,1933,4151,256822748,177760872,1246.06,64795.14,2.08,3.9,1.2117,4.65,75320.97
01063,"County 063, AL",AL,2023,17180,40148,1590964206,1135697723,782.28,40678.46,-1.59,0.45,1.0353,6.83,72065.71
01064,"County 064, AL",AL,2023,2063,8651,484510099,349179107,1081.97,56262.49,5.42,5.84,0.7245,5.94,73288.69
01065,"County 065, AL",AL,2023,31593,86378,5247849148,3512363032,1226.0,63751.86,1.17,2.8,0.6389,6.2,82105.75
01066,"County 066, AL",AL,2023,9730,19477,1196724196,759427756,1159.21,60278.98,1.11,1.46,0.9822,4.98,80885.78
01067,"County 067, AL",AL,2023,4970,19413,1120671977,733633832,1096.79,57033.29,-0.91,1.55,1.1959,5.53,61503.88
02001,"County 001, AK",AK,2023,1004,4775,276181336,197024329,1087.73,56562.02,2.67,1.56,0.8943,5.88,72716.71
02002,"County 002, AK",AK,2023,5560,19083,1057794425,779082856,1077.3,56019.41,3.68,1.75,0.845,6.88,67672.55
02003,"County 003, AK",AK,2023,337,1140,61398130,45816954,1011.29,52586.9,3.99,6.61,0.6739,5.61,68173.86
02004,"County 004, AK",AK,2023,4411,11470,611083308,412743348,977.7,50840.27,7.38,3.63,1.0469,6.3,87046.6
02005,"County 005, AK",AK,2023,2255,7246,348571202,235439349,954.03,49609.78,3.69,3.83,1.125,6.42,60913.78
02006,"County 006, AK",AK,2023,744,4598,243680274,156057141,1042.3,54199.63,-0.36,3.07,0.8149,5.79,74058.37
02007,"County 007, AK",AK,2023,12752,44958,1659930287,1093819013,728.06,37859.05,2.74,3.75,1.0821,7.46,59755.26
02008,"County 008, AK",AK,2023,1071,3228,155133975,119322753,963.02,50077.07,0.91,2.8,0.8668,6.08,69250.16
02009,"County 009, AK",AK,2023,1360,5767,235583359,177159391,793.13,41242.65,2.63,6.66,0.8043,8.17,65706.25
02010,"County 010, AK",AK,2023,3624,15455,871966968,565951725,1090.46,56704.05,5.46,5.88,1.6532,6.12,80608.18
02011,"County 011, AK",AK,2023,2242,12277,602096671,420336681,941.47,48956.19,2.57,4.54,0.9219,6.17,70334.58
02012,"County 012, AK",AK,2023,38032,71037,4016558649,2613321353,1120.08,58244.16,5.35,5.36,1.0769,6.32,76937.92
02013,"County 013, AK",AK,2023,6117,21097,654863450,490049333,578.52,30083.03,-1.31,4.61,1.1819,6.19,58251.07
02014,"County 014, AK",AK,2023,4517,9223,508705671,399210164,1092.16,56792.07,0.49,3.6,0.9876,4.6,72551.49
02015,"County 015, AK",AK,2023,16731,50399,2626508015,2060155378,1013.04,52678.33,0.5,1.93,1.472,5.58,64895.25
02016,"County 016, AK",AK,2023,5486,26778,1645994515,1000848196,1142.55,59412.45,-0.51,4.4,0.8995,5.17,79362.59
02017,"County 017, AK",AK,2023,83043,192838,11105156721,7793452735,1083.65,56349.55,3.32,5.28,0.9795,5.13,71559.14
02018,"County 018, AK",AK,2023,5048,17632,905442343,546844881,971.71,50529.05,-0.09,6.4,0.8392,4.7,65787.07
02019,"County 019, AK",AK,2023,4498,14756,878090512,686724191,1124.72,58485.4,4.02,4.91,0.4782,5.31,63691.59
02020,"County 020, AK",AK,2023,6171,19672,1105027747,668150072,1060.58,55149.98,1.68,3.8,1.4122,5.33,77120.1
02021,"County 021, AK",AK,2023,1597,4273,228356380,148166981,1045.06,54343.19,1.65,4.78,0.7157,6.17,66519.87
02022,"County 022, AK",AK,2023,11021,18684,1237808025,814309372,1255.84,65303.9,3.29,4.6,0.9476,6.4,75378.61
02023,"County 023, AK",AK,2023,1808,6147,363330497,228050132,1099.38,57167.97,2.5,1.79,0.9229,4.4,69435.41
02024,"County 024, AK",AK,2023,66832,123510,7683854931,4822383539,1250.2,65010.19,4.08,3.91,1.0394,4.93,70538.25
02025,"County 025, AK",AK,2023,10426,41729,2278135706,1664263214,1030.69,53595.83,1.36,6.01,1.738,6.26,77260.65
02026,"County 026, AK",AK,2023,26553,63657,3618203177,2740762764,1109.33,57685.07,-0.39,2.37,1.5781,6.32,81669.49
02027,"County 027, AK",AK,2023,841,2740,142403713,89814748,1041.53,54159.69,3.88,2.02,1.1707,5.84,68897.01
02028,"County 028, AK",AK,2023,3234,14441,734725848,567326053,1014.23,52740.22,0.76,3.33,0.7866,7.01,71182.62
02029,"County 029, AK",AK,2023,5004,17849,952583013,641641692,1029.96,53558.15,-2.01,2.82,1.0051,6.42,74740.82
02030,"County 030, AK",AK,2023,25752,64990,3834911989,2802200735,1177.48,61229.04,4.74,4.0,1.0005,6.63,63572.92
04001,"County 001, AZ",AZ,2023,882,4715,235377096,143554567,1007.73,52401.73,-2.06,0.37,0.9599,3.0,60497.5
04002,"County 002, AZ",AZ,2023,1633,5050,204837953,146012390,794.76,41327.57,-1.19,4.94,0.9963,3.28,54357.4
04003,"County 003, AZ",AZ,2023,10264,38032,1827568972,1118284589,885.54,46047.88,5.65,7.33,0.6506,3.39,65487.12
04004,"County 004, AZ",AZ,2023,615,2196,84562984,56156539,714.78,37168.62,-0.97,2.22,2.2224,4.84,58500.65
04005,"County 005, AZ",AZ,2023,2824,10355,268468833,194348306,518.53,26963.72,-2.18,6.18,0.9846,6.18,51529.57
04006,"County 006, AZ",AZ,2023,1504,4267,143504040,109240756,641.82,33374.61,-0.56,1.78,0.6607,4.88,53994.6
04007,"County 007, AZ",AZ,2023,5591,14648,765333148,549406824,969.29,50402.83,5.02,2.84,1.4415,3.95,57961.51
04008,"County 008, AZ",AZ,2023,2236,12572,627729444,459341448,963.89,50122.13,-1.0,2.67,1.3114,3.88,68594.18
04009,"County 009, AZ",AZ,2023,18936,57808,2040035867,1329051690,661.74,34410.53,-1.28,4.99,1.2556,5.23,60510.55
04010,"County 010, AZ",AZ,2023,3003,10007,364385226,268218047,734.13,38174.63,1.72,3.41,1.5186,2.82,44449.05
04011,"County 011, AZ",AZ,2023,5325,16447,613836001,437674633,726.96,37801.92,1.24,3.01,0.871,2.87,55640.05
04012,"County 012, AZ",AZ,2023,410,1550,48684636,32856909,582.02,30264.98,-5.55,4.91,1.3019,4.77,38556.68
04013,"County 013, AZ",AZ,2023,11083,88455,2599624450,1995324515,549.0,28547.78,1.82,4.82,1.9016,4.9,52067.7
04014,"County 014, AZ",AZ,2023,19129,92987,3557558565,2163063208,727.11,37809.81,3.23,4.33,0.5734,4.47,58065.54
04015,"County 015, AZ",AZ,2023,1311,3476,150309628,92612834,793.91,41283.56,2.46,8.68,0.9279,3.75,58057.57
05001,"County 001, AR",AR,2023,2143,6912,420136122,322452435,1120.09,58244.84,2.35,7.24,1.1772,2.18,86891.92
05002,"County 002, AR",AR,2023,2840,9228,420091900,267965153,892.35,46402.22,2.42,1.77,1.592,4.11,88896.22
05003,"County 003, AR",AR,2023,16363,62450,3862558673,2739076080,1155.26,60073.51,1.92,4.32,1.6749,3.36,75915.08
05004,"County 004, AR",AR,2023,2131,12351,831087759,628280711,1351.11,70257.95,-0.82,2.59,1.6771,1.4,97144.41
05005,"County 005, AR",AR,2023,73761,223175,15168740931,9818302600,1247.54,64872.26,0.66,3.43,0.8419,1.66,95883.14
05006,"County 006, AR",AR,2023,11275,35305,2033127490,1571256562,1094.56,56917.1,4.63,6.26,0.7421,4.33,93807.42
05007,"County 007, AR",AR,2023,4423,17301,1077086426,786960678,1219.08,63392.14,-0.81,5.28,1.3804,2.73,95471.23
05008,"County 008, AR",AR,2023,952,4446,276605272,190120069,1195.45,62163.48,-5.92,1.55,1.4804,1.74,92993.8
05009,"County 009, AR",AR,2023,32582,98027,7707829773,6007105414,1516.81,78874.13,-0.01,3.21,1.1954,1.29,96734.41
05010,"County 010, AR",AR,2023,7712,14738,1116581900,819985185,1433.66,74550.44,-0.34,2.26,1.1746,2.4,96966.25
05011,"County 011, AR",AR,2023,440,2698,159993563,116053730,1175.84,61143.78,-4.18,3.46,0.9446,4.0,83446.28
05012,"County 012, AR",AR,2023,56598,180351,11322202663,8396902266,1176.63,61184.57,-0.55,5.38,0.6184,2.58,91644.03
05013,"County 013, AR",AR,2023,3648,17273,990270546,749082469,1104.6,57438.97,-1.4,5.08,0.6613,2.07,85941.79
05014,"County 014, AR",AR,2023,6764,24704,1099410573,728655635,834.81,43410.35,1.8,3.92,1.2115,3.99,72764.6
05015,"County 015, AR",AR,2023,4917,21916,1312040537,1049325316,1110.51,57746.5,-5.4,3.38,0.9362,2.17,94597.59
05016,"County 016, AR",AR,2023,1884,12841,836615424,594358821,1244.44,64710.77,-1.44,7.42,0.7148,2.73,83900.38
05017,"County 017, AR",AR,2023,35073,125278,7607114490,5486706481,1195.45,62163.54,0.88,0.59,0.7549,2.71,93168.41
05018,"County 018, AR",AR,2023,1382,5671,284422331,181570731,947.32,49260.58,3.4,5.26,0.9502,2.64,86084.15
05019,"County 019, AR",AR,2023,687,2954,146992484,100835581,980.0,50960.1,-2.49,3.85,0.9259,3.14,86084.62
05020,"County 020, AR",AR,2023,782,2879,116861840,74978511,818.35,42554.39,1.09,4.79,0.7819,3.22,74262.18
05021,"County 021, AR",AR,2023,12643,58721,2992165298,2179644258,945.7,49176.35,-0.35,4.48,1.1716,3.22,86539.63
05022,"County 022, AR",AR,2023,1001,3010,205512696,130927012,1353.54,70384.21,4.87,4.71,1.0707,1.66,92971.16
05023,"County 023, AR",AR,2023,3147,9616,522207628,336791488,1054.68,54843.32,-2.97,4.38,0.7664,3.12,88129.55
05024,"County 024, AR",AR,2023,24934,97945,3955306573,2413161009,798.34,41513.51,4.17,1.6,0.7477,3.49,81813.16
05025,"County 025, AR",AR,2023,12201,72645,4395008763,3291660208,1160.27,60334.15,2.73,-0.55,1.2548,1.17,90634.93
05026,"County 026, AR",AR,2023,22121,94736,5190707069,3879039495,1081.06,56215.07,0.51,3.37,0.5778,2.9,79714.97
05027,"County 027, AR",AR,2023,11122,18279,1083791789,864135100,1143.2,59446.6,-0.27,4.2,1.0007,2.64,86474.84
05028,"County 028, AR",AR,2023,504,1590,91417029,65936595,1124.01,58448.54,2.38,2.49,0.9065,1.27,84392.06
05029,"County 029, AR",AR,2023,20920,85090,4538375140,3082860355,1076.18,55961.36,3.66,2.84,0.5767,1.49,85740.5
05030,"County 030, AR",AR,2023,7010,25741,1137080359,900229998,891.66,46366.18,0.24,4.05,0.4431,3.3,93596.59
05031,"County 031, AR",AR,2023,8881,27565,1510106639,1080816331,1069.62,55620.21,1.19,1.98,1.0453,2.15,85604.23
05032,"County 032, AR",AR,2023,954,2085,120218298,73911596,1057.04,54966.28,1.72,2.11,0.8309,2.71,88139.71
05033,"County 033, AR",AR,2023,4076,17131,946859034,656675610,1079.53,56135.81,1.0,2.32,1.0397,2.28,95865.35
05034,"County 034, AR",AR,2023,884,3016,172294528,113978532,1070.23,55651.92,3.71,2.41,0.8052,2.09,85432.44
05035,"County 035, AR",AR,2023,18285,41343,2072266712,1530800192,1000.43,52022.16,-0.47,2.67,0.6907,1.97,85905.82
05036,"County 036, AR",AR,2023,11206,58864,3421898713,2376546970,1089.55,56656.82,5.74,5.82,1.1095,1.49,89766.17
05037,"County 037, AR",AR,2023,44829,127482,5417524425,3785231445,784.17,40776.89,4.51,5.8,0.5728,3.65,86644.45
05038,"County 038, AR",AR,2023,4873,18096,783994490,559769385,874.05,45450.6,1.1,2.79,0.8564,3.13,85882.31
05039,"County 039, AR",AR,2023,2630,8107,519541285,390289092,1232.39,64084.17,3.88,0.28,0.5012,2.39,92019.56
05040,"County 040, AR",AR,2023,2901,10421,677692925,523174945,1233.46,64139.75,3.4,6.0,1.2531,1.46,95449.13
05041,"County 041, AR",AR,2023,30948,171059,11070365276,7352604669,1273.96,66246.07,2.51,4.84,1.0313,2.23,91734.47
05042,"County 042, AR",AR,2023,1078,3863,269090837,185472599,1294.22,67299.52,-3.62,3.86,0.6761,1.69,96808.95
05043,"County 043, AR",AR,2023,5736,18222,1177005169,711316825,1232.09,64068.92,4.08,4.51,0.6133,2.69,86625.23
05044,"County 044, AR",AR,2023,20769,53647,3270446467,2321685769,1126.84,58595.63,2.06,5.37,0.8215,1.97,83613.48
05045,"County 045, AR",AR,2023,436,1250,87119247,53072404,1378.28,71670.52,5.03,2.98,1.0361,1.0,96802.69
05046,"County 046, AR",AR,2023,3758,23644,1614719394,1163697896,1316.62,68463.99,-3.92,3.32,0.8158,1.0,96291.16
05047,"County 047, AR",AR,2023,852,3143,194718524,152852579,1251.76,65091.39,-1.43,3.86,1.0529,1.74,94685.69
05048,"County 048, AR",AR,2023,10936,38551,2721357095,1859913471,1342.12,69790.34,4.04,3.23,0.5986,1.0,99757.45
05049,"County 049, AR",AR,2023,21690,72760,4139986747,2789513592,1069.29,55602.97,3.3,0.71,0.8683,1.93,94706.16
05050,"County 050, AR",AR,2023,42467,178555,9909900484,7782582754,1054.8,54849.7,1.71,1.59,0.4662,2.36,78885.35
05051,"County 051, AR",AR,2023,978,4526,268909871,179365405,1167.68,60719.18,-0.16,4.19,0.6987,3.07,84527.42
05052,"County 052, AR",AR,2023,2099,7159,401497103,296106838,1117.32,58100.74,2.69,4.23,0.9695,2.14,93345.33
05053,"County 053, AR",AR,2023,3049,11178,562195638,349535802,952.79,49545.04,2.02,6.64,1.1865,3.08,82710.29
05054,"County 054, AR",AR,2023,2519,9042,550613912,376760887,1189.52,61854.94,-1.93,4.5,1.2103,2.47,95877.85
05055,"County 055, AR",AR,2023,8608,29955,1758836883,1070198111,1077.33,56021.32,-0.19,4.58,1.0922,1.47,94040.25
05056,"County 056, AR",AR,2023,1369,3180,167105916,116134495,964.45,50151.56,1.45,6.66,1.0573,2.89,82483.97
05057,"County 057, AR",AR,2023,8885,38517,2362447776,1823587987,1178.99,61307.33,-2.21,4.82,0.4023,2.48,88415.15
05058,"County 058, AR",AR,2023,2772,6482,384665626,283116588,1176.5,61177.88,3.96,2.01,1.1086,3.06,94047.5
05059,"County 059, AR",AR,2023,1030,6491,413318013,322395595,1260.6,65551.43,-1.33,5.18,0.6514,3.02,107002.61
05060,"County 060, AR",AR,2023,5830,21041,983652869,730576024,880.5,45786.19,-2.14,6.9,1.1002,3.45,82275.94
05061,"County 061, AR",AR,2023,17347,75047,4202413082,2612429622,1128.84,58699.86,-3.47,3.33,1.02,1.43,89459.83
05062,"County 062, AR",AR,2023,168,653,40144368,30161663,1218.55,63364.36,4.03,5.2,0.9672,1.83,88584.51
05063,"County 063, AR",AR,2023,7204,25249,1732112032,1318621807,1284.96,66818.0,3.65,2.35,0.5311,3.26,94568.67
05064,"County 064, AR",AR,2023,2106,6738,382358952,294941019,1080.22,56171.4,-0.52,4.18,1.1464,2.99,93050.59
05065,"County 065, AR",AR,2023,8332,37890,2407342867,1649497352,1175.54,61128.17,2.86,3.88,0.7534,2.38,90584.86
05066,"County 066, AR",AR,2023,85183,345028,23165682062,18392493250,1323.38,68815.59,0.53,4.38,0.7561,1.63,95428.95
05067,"County 067, AR",AR,2023,10352,22860,1266297925,902582313,1107.9,57610.54,-0.33,2.55,0.719,3.26,87320.13
05068,"County 068, AR",AR,2023,5172,12417,666825342,424897696,993.53,51663.31,2.3,2.34,1.2676,2.23,83858.07
05069,"County 069, AR",AR,2023,33935,119987,8103230734,6368543263,1350.88,70245.58,-0.37,2.69,0.7425,1.0,93329.52
05070,"County 070, AR",AR,2023,7369,28505,1749138638,1278176228,1237.11,64329.72,6.78,4.22,0.5211,1.35,83463.13
05071,"County 071, AR",AR,2023,3325,12973,821791704,503040190,1243.46,64659.76,-1.02,3.87,1.0624,1.0,91412.63
05072,"County 072, AR",AR,2023,2631,12274,713611834,512019272,1131.79,58853.02,4.18,3.27,0.8524,2.8,92755.35
05073,"County 073, AR",AR,2023,18416,48502,3635535002,2273346420,1432.59,74494.46,1.5,3.62,0.7967,1.0,97203.17
05074,"County 074, AR",AR,2023,4034,21456,1340816734,862485542,1195.04,62142.28,6.94,4.3,1.185,1.41,84746.76
05075,"County 075, AR",AR,2023,910,5259,303753220,200010046,1145.12,59546.35,4.55,2.35,0.614,3.16,92474.61
06001,"County 001, CA",CA,2023,1036,3780,107055660,71184384,548.15,28503.64,1.25,4.24,1.4617,4.94,36775.12
06002,"County 002, CA",CA,2023,5195,18527,965543545,726875867,1035.94,53868.71,-4.2,2.98,1.1569,2.27,63232.23
06003,"County 003, CA",CA,2023,2162,16993,1072336454,750206216,1204.68,62643.29,3.51,3.82,1.4722,2.9,66317.21
06004,"County 004, CA",CA,2023,23867,44696,1508941918,926230245,671.37,34911.06,3.42,3.03,1.5034,4.9,64407.5
06005,"County 005, CA",CA,2023,2035,6447,253759857,180081865,777.57,40433.61,1.34,2.91,1.9687,3.87,60485.21
06006,"County 006, CA",CA,2023,15698,51455,2510712750,1850503066,923.1,48001.29,-0.3,4.53,2.1859,3.24,59532.84
06007,"County 007, CA",CA,2023,22481,75810,4064227884,2927966814,993.99,51687.4,0.84,5.6,0.7292,2.02,60398.04
06008,"County 008, CA",CA,2023,2339,9989,555141364,341063550,1042.88,54229.98,4.12,3.46,0.4872,2.97,64297.11
06009,"County 009, CA",CA,2023,2881,10632,574828550,435981109,1029.8,53549.43,0.32,4.16,0.6605,1.41,60682.59
06010,"County 010, CA",CA,2023,39534,96009,3767471324,2665438923,760.95,39569.59,6.75,6.46,1.4796,3.6,49225.25
06011,"County 011, CA",CA,2023,905,3912,245323996,182800770,1159.56,60297.07,1.68,2.54,1.015,2.73,61600.1
06012,"County 012, CA",CA,2023,454,2078,89383717,65506552,820.02,42641.1,3.23,3.72,0.5034,4.31,46723.99
06013,"County 013, CA",CA,2023,925,3772,175284165,125685454,886.3,46087.4,-0.7,5.56,1.1034,3.0,52244.57
06014,"County 014, CA",CA,2023,6131,28621,1187652233,853274673,832.08,43268.06,-3.84,1.21,1.4748,4.79,51580.65
06015,"County 015, CA",CA,2023,5351,42567,1903208788,1161101904,871.31,45307.91,0.67,5.84,2.0905,3.14,56139.31
06016,"County 016, CA",CA,2023,733,2212,109918179,83597281,930.26,48373.56,-2.04,4.3,1.4169,3.33,57953.6
06017,"County 017, CA",CA,2023,1454,4788,312155160,229934424,1315.05,68382.79,2.34,5.27,0.8292,2.05,69312.85
06018,"County 018, CA",CA,2023,2624,9045,371671586,230195012,821.48,42716.99,-2.73,1.44,0.9473,2.79,51543.81
06019,"County 019, CA",CA,2023,3643,8302,412180376,259755506,916.98,47682.81,1.24,4.85,0.7278,3.5,47134.11
06020,"County 020, CA",CA,2023,12131,57171,2380824237,1608142891,778.92,40503.87,0.17,3.59,1.0382,4.53,60950.36
06021,"County 021, CA",CA,2023,6257,27252,1122327968,739380792,806.53,41939.64,3.14,7.78,0.9582,2.03,51967.41
06022,"County 022, CA",CA,2023,10609,34875,1814705666,1335010220,989.03,51429.4,4.22,4.45,1.3728,3.03,55970.87
06023,"County 023, CA",CA,2023,7822,17358,762667408,583711287,824.26,42861.65,1.81,0.72,0.9274,5.16,54053.7
06024,"County 024, CA",CA,2023,78869,180352,7907347274,5006921083,857.35,44582.43,3.29,4.78,1.0894,3.76,55022.19
06025,"County 025, CA",CA,2023,1035,3950,216424798,171004368,1009.02,52469.3,1.44,3.22,1.3173,3.18,57010.55
06026,"County 026, CA",CA,2023,45659,297031,10526826850,8040936449,656.17,34120.89,-4.79,4.5,0.8755,2.52,55387.18
06027,"County 027, CA",CA,2023,40717,153700,8699191921,6840738821,1118.83,58179.03,-1.94,4.16,1.1663,1.47,64362.31
06028,"County 028, CA",CA,2023,17300,46929,2208786048,1514605640,903.23,46968.03,-1.99,6.08,1.6166,2.72,61810.55
06029,"County 029, CA",CA,2023,8386,23855,1176567642,893897225,927.22,48215.52,1.98,2.3,2.1287,3.82,61096.91
